team_A,team_B,first_kick_team,first_kick_result,win_team,total_success_rate_A,total_success_rate_B,competition,year,stage,shootout_length
Metz,Red Star,A,scored,B,0.6,0.8,UEL,1998,First Round,10
Slavia Prague,Schalke,A,scored,A,1.0,0.8,UEL,1998,First Round,10
Karpaat Lviv,Helsingborgs,B,scored,B,0.0,1.0,UEL,1999,First Round,4
Benfica,PAOK,A,scored,A,1.0,0.33,UEL,1999,Second Round,7
Dortmund,Rangers,A,scored,A,0.75,0.25,UEL,1999,3rd Round,8
Galatasaray,Arsenal,A,scored,A,1.0,0.33,UEL,2000,Final,7
Wisla Krakow,Real Zaragosa,A,scored,A,0.8,0.6,UEL,2000,First Round,10
Celtic,Valencia,A,scored,B,0.57,0.71,UEL,2001,3rd Round,14
PSG,Rangers,B,scored,B,0.5,0.6,UEL,2001,3rd Round,12
Milan,Roda,B,scored,A,0.6,0.4,UEL,2002,Round of 16,10
Feyenord,PSV,B,scored,A,1.0,0.8,UEL,2002,Quarter Finals,10
Slovan Liberec,Ipswich,B,scored,A,1.0,0.5,UEL,2002,Second Round,8
Lefski Sofia,Sturm Graz,A,scored,B,0.77,0.88,UEL,2002,Second Round,18
Boavista,Malaga,A,scored,A,1.0,0.33,UEL,2003,Quarter Finals,7
Copenhagen,Ferencvaros,B,scored,A,0.6,0.4,UEL,2003,First Round,10
Torpedo Moskau,CSKA SOfia,A,saved,A,0.6,0.4,UEL,2003,First Round,10
Wilsa Krakowa,Valerenga,A,scored,B,0.6,0.8,UEL,2003,Second Round,10
Brondby,Schalke,A,scored,A,0.75,0.25,UEL,2003,Second Round,8
Rangers,Maritimo,A,scored,A,0.8,0.5,UEL,2004,First Round,9
Steaua Bucharest,Valencia,A,scored,A,0.8,0.6,UEL,2005,Intermediate Stage,10
Marseile,Beerschot,A,scored,A,1.0,0.33,UEL,2005,First Round,7
Espanyol,Sevilla,B,scored,B,0.25,0.75,UEL,2007,Final,8
Palermo,Mlada Boleslav,B,scored,B,0.5,0.75,UEL,2007,First Round,9
Odense BK,Sparta Prague,A,missed,B,0.5,0.66,UEL,2007,First Round,12
Fiorentina,Gronigen,B,missed,A,0.8,0.6,UEL,2007,First Round,10
PSV,Tottenham,A,scored,A,0.86,0.71,UEL,2008,Round of 16,14
Everton,Fiorentina,A,scored,B,0.5,0.75,UEL,2008,Round of 16,8
Fiorentina,Rangers,B,saved,B,0.5,0.8,UEL,2008,Semi Finals,9
